Itens 	Parametro_a	Parametro_b	Parametro_c	Parametro_d	Question	Option.1	Option.2	Option.3	Option.4	Option.5	Answer
Item.48	2.406	2.915	0.220	-7.015	"1+0=?"	1	2	3	4	5	1
Item.49	1.699	-2.756	0.277	4.681	"1+0=?"	1	2	3	4	5	1
Item.50	1.117	-1.616	0.236	1.805	"1+0=?"	1	2	3	4	5	1
Item.51	2.071	-2.970	0.254	6.151	"1+0=?"	1	2	3	4	5	1
Item.52	2.033	2.557	0.178	-5.198	"1+0=?"	1	2	3	4	5	1
Item.53	2.068	-2.398	0.206	4.960	"1+0=?"	1	2	3	4	5	1
Item.54	1.779	-1.460	0.252	2.597	"1+0=?"	1	2	3	4	5	1
Item.55	2.207	1.654	0.170	-3.651	"1+0=?"	1	2	3	4	5	1
Item.56	1.465	1.078	0.170	-1.579	"1+0=?"	1	2	3	4	5	1
Item.57	2.144	1.855	0.154	-3.976	"1+0=?"	1	2	3	4	5	1
Item.58	2.257	1.346	0.180	-3.037	"1+0=?"	1	2	3	4	5	1
Item.59	2.203	-2.490	0.166	5.486	"1+0=?"	1	2	3	4	5	1
Item.60	1.562	-2.206	0.262	3.446	"1+0=?"	1	2	3	4	5	1
Item.61	1.975	1.537	0.209	-3.035	"1+0=?"	1	2	3	4	5	1
Item.62	1.266	0.759	0.197	-0.961	"1+0=?"	1	2	3	4	5	1
Item.63	1.072	-1.958	0.265	2.100	"1+0=?"	1	2	3	4	5	1
Item.64	1.062	-0.571	0.278	0.606	"1+0=?"	1	2	3	4	5	1
Item.65	2.269	0.314	0.216	-0.712	"1+0=?"	1	2	3	4	5	1
Item.66	2.168	1.269	0.168	-2.752	"1+0=?"	1	2	3	4	5	1
Item.67	1.523	0.331	0.191	-0.504	"1+0=?"	1	2	3	4	5	1
Item.68	2.202	-1.913	0.188	4.212	"1+0=?"	1	2	3	4	5	1
Item.69	1.964	2.822	0.232	-5.543	"1+0=?"	1	2	3	4	5	1
Item.70	2.441	1.122	0.266	-2.738	"1+0=?"	1	2	3	4	5	1
Item.71	1.994	0.173	0.278	-0.345	"1+0=?"	1	2	3	4	5	1
Item.72	1.813	1.780	0.231	-3.228	"1+0=?"	1	2	3	4	5	1
Item.73	1.890	1.834	0.229	-3.467	"1+0=?"	1	2	3	4	5	1
Item.74	2.390	-1.427	0.210	3.410	"1+0=?"	1	2	3	4	5	1
Item.75	1.446	-1.932	0.276	2.794	"1+0=?"	1	2	3	4	5	1
Item.76	1.119	2.201	0.177	-2.462	"1+0=?"	1	2	3	4	5	1
Item.77	1.802	-2.311	0.174	4.165	"1+0=?"	1	2	3	4	5	1
Item.78	2.220	-2.643	0.266	5.866	"1+0=?"	1	2	3	4	5	1
Item.79	1.598	1.569	0.174	-2.508	"1+0=?"	1	2	3	4	5	1
Item.80	2.224	1.430	0.172	-3.181	"1+0=?"	1	2	3	4	5	1
Item.81	1.355	2.918	0.268	-3.952	"1+0=?"	1	2	3	4	5	1
Item.82	2.313	2.554	0.232	-5.906	"1+0=?"	1	2	3	4	5	1
Item.83	1.016	2.423	0.195	-2.463	"1+0=?"	1	2	3	4	5	1
Item.84	2.029	0.270	0.166	-0.548	"1+0=?"	1	2	3	4	5	1
Item.85	1.292	0.005	0.211	-0.006	"1+0=?"	1	2	3	4	5	1
Item.86	1.339	1.050	0.168	-1.405	"1+0=?"	1	2	3	4	5	1
Item.87	1.736	-0.061	0.201	0.106	"1+0=?"	1	2	3	4	5	1
Item.88	1.057	-2.125	0.233	2.246	"1+0=?"	1	2	3	4	5	1
Item.89	1.916	-2.772	0.150	5.312	"1+0=?"	1	2	3	4	5	1
Item.90	1.038	1.778	0.273	-1.845	"1+0=?"	1	2	3	4	5	1
Item.91	1.836	1.029	0.298	-1.890	"1+0=?"	1	2	3	4	5	1
Item.92	1.915	1.390	0.253	-2.662	"1+0=?"	1	2	3	4	5	1
Item.93	1.124	0.507	0.201	-0.570	"1+0=?"	1	2	3	4	5	1
Item.94	1.806	-2.087	0.237	3.768	"1+0=?"	1	2	3	4	5	1
Item.95	2.133	2.353	0.187	-5.018	"1+0=?"	1	2	3	4	5	1
Item.96	1.395	-0.733	0.247	1.023	"1+0=?"	1	2	3	4	5	1
Item.97	1.058	-1.797	0.166	1.901	"1+0=?"	1	2	3	4	5	1
Item.98	2.421	-1.765	0.255	4.273	"1+0=?"	1	2	3	4	5	1
Item.99	1.928	-0.996	0.256	1.921	"1+0=?"	1	2	3	4	5	1
Item.100	1.929	-1.049	0.265	2.024	"1+0=?"	1	2	3	4	5	1
Item.101	1.668	-1.199	0.235	2.000	"1+0=?"	1	2	3	4	5	1
Item.102	1.539	1.813	0.288	-2.790	"1+0=?"	1	2	3	4	5	1
Item.103	1.468	1.177	0.286	-1.727	"1+0=?"	1	2	3	4	5	1
Item.104	1.391	-1.371	0.223	1.908	"1+0=?"	1	2	3	4	5	1
Item.105	2.244	2.424	0.245	-5.441	"1+0=?"	1	2	3	4	5	1
Item.106	2.305	-2.765	0.217	6.374	"1+0=?"	1	2	3	4	5	1
Item.107	1.042	1.254	0.151	-1.307	"1+0=?"	1	2	3	4	5	1
Item.108	1.987	-0.278	0.245	0.552	"1+0=?"	1	2	3	4	5	1
Item.109	1.191	0.100	0.227	-0.119	"1+0=?"	1	2	3	4	5	1
Item.110	1.194	-1.461	0.155	1.744	"1+0=?"	1	2	3	4	5	1
Item.111	2.400	-1.252	0.156	3.006	"1+0=?"	1	2	3	4	5	1
Item.112	1.699	1.813	0.241	-3.081	"1+0=?"	1	2	3	4	5	1
Item.113	1.619	1.734	0.274	-2.807	"1+0=?"	1	2	3	4	5	1
Item.114	1.441	1.056	0.277	-1.522	"1+0=?"	1	2	3	4	5	1
Item.115	2.393	1.532	0.156	-3.666	"1+0=?"	1	2	3	4	5	1
Item.116	1.544	2.691	0.202	-4.156	"1+0=?"	1	2	3	4	5	1
Item.117	1.024	0.716	0.204	-0.734	"1+0=?"	1	2	3	4	5	1
Item.118	2.175	1.332	0.184	-2.897	"1+0=?"	1	2	3	4	5	1
Item.119	1.026	2.808	0.195	-2.881	"1+0=?"	1	2	3	4	5	1
Item.120	1.101	-0.788	0.214	0.868	"1+0=?"	1	2	3	4	5	1
Item.121	1.130	2.103	0.203	-2.376	"1+0=?"	1	2	3	4	5	1
Item.122	2.096	0.342	0.152	-0.717	"1+0=?"	1	2	3	4	5	1
Item.123	1.837	2.238	0.161	-4.112	"1+0=?"	1	2	3	4	5	1
Item.124	2.068	-0.354	0.191	0.731	"1+0=?"	1	2	3	4	5	1
Item.125	1.159	-1.694	0.230	1.963	"1+0=?"	1	2	3	4	5	1
Item.126	1.838	2.154	0.240	-3.959	"1+0=?"	1	2	3	4	5	1
Item.127	1.273	-1.318	0.155	1.678	"1+0=?"	1	2	3	4	5	1
Item.128	1.316	1.220	0.275	-1.605	"1+0=?"	1	2	3	4	5	1
Item.129	1.605	1.244	0.250	-1.997	"1+0=?"	1	2	3	4	5	1
Item.130	1.843	-0.745	0.203	1.373	"1+0=?"	1	2	3	4	5	1
Item.131	1.990	-1.022	0.243	2.033	"1+0=?"	1	2	3	4	5	1
Item.132	2.185	-2.484	0.250	5.429	"1+0=?"	1	2	3	4	5	1
Item.133	1.288	2.861	0.290	-3.686	"1+0=?"	1	2	3	4	5	1
Item.134	2.380	-1.287	0.237	3.063	"1+0=?"	1	2	3	4	5	1
Item.135	1.739	0.206	0.268	-0.358	"1+0=?"	1	2	3	4	5	1
Item.136	1.498	-0.556	0.274	0.832	"1+0=?"	1	2	3	4	5	1
Item.137	1.250	2.986	0.294	-3.734	"1+0=?"	1	2	3	4	5	1
Item.138	1.052	2.368	0.249	-2.492	"1+0=?"	1	2	3	4	5	1
Item.139	1.778	1.865	0.178	-3.316	"1+0=?"	1	2	3	4	5	1
Item.140	2.029	2.452	0.213	-4.975	"1+0=?"	1	2	3	4	5	1
Item.141	1.277	0.447	0.248	-0.571	"1+0=?"	1	2	3	4	5	1
Item.142	1.914	1.236	0.233	-2.367	"1+0=?"	1	2	3	4	5	1
Item.143	1.458	-0.591	0.197	0.862	"1+0=?"	1	2	3	4	5	1
Item.144	1.921	-2.334	0.200	4.484	"1+0=?"	1	2	3	4	5	1
Item.145	1.099	2.384	0.267	-2.621	"1+0=?"	1	2	3	4	5	1
Item.146	1.551	-0.682	0.195	1.058	"1+0=?"	1	2	3	4	5	1
Item.147	1.929	-2.425	0.248	4.679	"1+0=?"	1	2	3	4	5	1
Item.148	1.767	1.666	0.287	-2.943	"1+0=?"	1	2	3	4	5	1
Item.149	1.076	1.701	0.214	-1.831	"1+0=?"	1	2	3	4	5	1
Item.150	2.232	0.994	0.247	-2.219	"1+0=?"	1	2	3	4	5	1
Item.151	2.115	0.941	0.197	-1.990	"1+0=?"	1	2	3	4	5	1
Item.152	1.855	-1.449	0.170	2.689	"1+0=?"	1	2	3	4	5	1
Item.153	2.390	1.591	0.186	-3.803	"1+0=?"	1	2	3	4	5	1
Item.154	2.491	1.202	0.232	-2.993	"1+0=?"	1	2	3	4	5	1
Item.155	2.400	2.153	0.192	-5.167	"1+0=?"	1	2	3	4	5	1
Item.156	1.814	-2.983	0.154	5.412	"1+0=?"	1	2	3	4	5	1
Item.157	1.573	1.072	0.247	-1.685	"1+0=?"	1	2	3	4	5	1
Item.158	1.757	2.573	0.239	-4.521	"1+0=?"	1	2	3	4	5	1
Item.159	2.186	-2.745	0.256	6.000	"1+0=?"	1	2	3	4	5	1
Item.160	2.123	0.109	0.287	-0.231	"1+0=?"	1	2	3	4	5	1
Item.161	1.886	2.473	0.281	-4.665	"1+0=?"	1	2	3	4	5	1
Item.162	2.383	2.726	0.160	-6.497	"1+0=?"	1	2	3	4	5	1
Item.163	2.241	0.566	0.202	-1.268	"1+0=?"	1	2	3	4	5	1
Item.164	1.745	0.346	0.185	-0.604	"1+0=?"	1	2	3	4	5	1
Item.165	1.877	2.809	0.156	-5.271	"1+0=?"	1	2	3	4	5	1
Item.166	2.183	-0.102	0.271	0.222	"1+0=?"	1	2	3	4	5	1
Item.167	1.027	-1.466	0.242	1.506	"1+0=?"	1	2	3	4	5	1
Item.168	1.850	1.907	0.215	-3.529	"1+0=?"	1	2	3	4	5	1
Item.169	1.631	-0.024	0.166	0.039	"1+0=?"	1	2	3	4	5	1
Item.170	1.340	2.104	0.220	-2.820	"1+0=?"	1	2	3	4	5	1
Item.171	1.901	1.009	0.206	-1.917	"1+0=?"	1	2	3	4	5	1
Item.172	2.377	2.562	0.276	-6.089	"1+0=?"	1	2	3	4	5	1
Item.173	2.044	-0.289	0.292	0.592	"1+0=?"	1	2	3	4	5	1
Item.174	1.799	-1.991	0.219	3.582	"1+0=?"	1	2	3	4	5	1
Item.175	2.394	-2.628	0.283	6.293	"1+0=?"	1	2	3	4	5	1
Item.176	1.400	-2.969	0.276	4.158	"1+0=?"	1	2	3	4	5	1
Item.177	1.640	0.247	0.202	-0.404	"1+0=?"	1	2	3	4	5	1
Item.178	1.989	0.706	0.153	-1.403	"1+0=?"	1	2	3	4	5	1
Item.179	1.963	-0.043	0.157	0.084	"1+0=?"	1	2	3	4	5	1
Item.180	2.056	0.477	0.205	-0.980	"1+0=?"	1	2	3	4	5	1
Item.181	2.241	0.611	0.182	-1.370	"1+0=?"	1	2	3	4	5	1
Item.182	1.003	2.580	0.272	-2.587	"1+0=?"	1	2	3	4	5	1
Item.183	2.402	0.204	0.200	-0.490	"1+0=?"	1	2	3	4	5	1
Item.184	2.498	-2.208	0.160	5.514	"1+0=?"	1	2	3	4	5	1
Item.185	1.036	-2.506	0.258	2.596	"1+0=?"	1	2	3	4	5	1
Item.186	1.580	0.455	0.224	-0.720	"1+0=?"	1	2	3	4	5	1
Item.187	1.329	1.975	0.251	-2.624	"1+0=?"	1	2	3	4	5	1
Item.188	2.120	-2.606	0.151	5.524	"1+0=?"	1	2	3	4	5	1
Item.189	1.343	-1.374	0.264	1.845	"1+0=?"	1	2	3	4	5	1
Item.190	2.005	1.198	0.235	-2.402	"1+0=?"	1	2	3	4	5	1
Item.191	2.421	-0.515	0.227	1.246	"1+0=?"	1	2	3	4	5	1
Item.192	1.038	-0.807	0.213	0.837	"1+0=?"	1	2	3	4	5	1
Item.193	1.612	-0.390	0.210	0.628	"1+0=?"	1	2	3	4	5	1
Item.194	2.285	-1.019	0.164	2.329	"1+0=?"	1	2	3	4	5	1
Item.195	2.326	-1.733	0.203	4.033	"1+0=?"	1	2	3	4	5	1
Item.196	2.054	1.443	0.191	-2.963	"1+0=?"	1	2	3	4	5	1
Item.197	2.469	0.141	0.256	-0.348	"1+0=?"	1	2	3	4	5	1
Item.198	1.213	2.381	0.211	-2.888	"1+0=?"	1	2	3	4	5	1
Item.199	1.910	0.620	0.176	-1.185	"1+0=?"	1	2	3	4	5	1
Item.200	1.089	0.137	0.185	-0.149	"1+0=?"	1	2	3	4	5	1
Item.201	1.841	0.539	0.240	-0.992	"1+0=?"	1	2	3	4	5	1
Item.202	2.175	0.510	0.236	-1.108	"1+0=?"	1	2	3	4	5	1
Item.203	1.769	-0.018	0.257	0.032	"1+0=?"	1	2	3	4	5	1
Item.204	2.331	-2.337	0.257	5.448	"1+0=?"	1	2	3	4	5	1
Item.205	1.463	0.558	0.178	-0.817	"1+0=?"	1	2	3	4	5	1
Item.206	1.312	0.353	0.245	-0.464	"1+0=?"	1	2	3	4	5	1
Item.207	1.188	1.645	0.200	-1.954	"1+0=?"	1	2	3	4	5	1
Item.208	2.069	-1.615	0.250	3.341	"1+0=?"	1	2	3	4	5	1
Item.209	2.318	1.387	0.174	-3.216	"1+0=?"	1	2	3	4	5	1
Item.210	1.395	0.520	0.213	-0.726	"1+0=?"	1	2	3	4	5	1
Item.211	2.443	0.273	0.191	-0.667	"1+0=?"	1	2	3	4	5	1
Item.212	1.445	1.844	0.266	-2.665	"1+0=?"	1	2	3	4	5	1
Item.213	1.798	2.786	0.261	-5.009	"1+0=?"	1	2	3	4	5	1
Item.214	1.026	-2.428	0.291	2.491	"1+0=?"	1	2	3	4	5	1
Item.215	2.146	-2.349	0.296	5.041	"1+0=?"	1	2	3	4	5	1
Item.216	1.128	1.274	0.247	-1.437	"1+0=?"	1	2	3	4	5	1
Item.217	1.640	2.299	0.265	-3.771	"1+0=?"	1	2	3	4	5	1
Item.218	1.017	-1.860	0.178	1.893	"1+0=?"	1	2	3	4	5	1
Item.219	1.535	-2.904	0.221	4.458	"1+0=?"	1	2	3	4	5	1
Item.220	2.122	-1.893	0.270	4.017	"1+0=?"	1	2	3	4	5	1
Item.221	1.931	0.480	0.204	-0.927	"1+0=?"	1	2	3	4	5	1
Item.222	1.568	0.996	0.196	-1.563	"1+0=?"	1	2	3	4	5	1
Item.223	2.390	-2.026	0.201	4.842	"1+0=?"	1	2	3	4	5	1
Item.224	1.705	-1.829	0.285	3.119	"1+0=?"	1	2	3	4	5	1
Item.225	2.227	1.067	0.272	-2.376	"1+0=?"	1	2	3	4	5	1
Item.226	2.088	0.290	0.295	-0.606	"1+0=?"	1	2	3	4	5	1
Item.227	2.497	-1.233	0.193	3.078	"1+0=?"	1	2	3	4	5	1
Item.228	1.230	0.245	0.171	-0.301	"1+0=?"	1	2	3	4	5	1
Item.229	1.588	-1.961	0.170	3.113	"1+0=?"	1	2	3	4	5	1
Item.230	1.282	-1.888	0.150	2.421	"1+0=?"	1	2	3	4	5	1
Item.231	2.326	2.114	0.284	-4.917	"1+0=?"	1	2	3	4	5	1
Item.232	1.274	2.689	0.172	-3.425	"1+0=?"	1	2	3	4	5	1
Item.233	2.073	-1.495	0.279	3.100	"1+0=?"	1	2	3	4	5	1
Item.234	1.860	-0.410	0.293	0.762	"1+0=?"	1	2	3	4	5	1
Item.235	2.350	0.269	0.225	-0.633	"1+0=?"	1	2	3	4	5	1
Item.236	2.366	2.805	0.209	-6.635	"1+0=?"	1	2	3	4	5	1
Item.237	1.489	1.344	0.233	-2.002	"1+0=?"	1	2	3	4	5	1
Item.238	2.466	2.706	0.264	-6.674	"1+0=?"	1	2	3	4	5	1
Item.239	1.181	0.422	0.281	-0.498	"1+0=?"	1	2	3	4	5	1
Item.240	1.781	2.644	0.209	-4.709	"1+0=?"	1	2	3	4	5	1
Item.241	2.446	-1.441	0.260	3.524	"1+0=?"	1	2	3	4	5	1
Item.242	2.211	-1.998	0.174	4.418	"1+0=?"	1	2	3	4	5	1
Item.243	2.426	2.303	0.232	-5.586	"1+0=?"	1	2	3	4	5	1
Item.244	1.638	1.925	0.263	-3.153	"1+0=?"	1	2	3	4	5	1
Item.245	1.011	-2.749	0.212	2.778	"1+0=?"	1	2	3	4	5	1
Item.246	1.888	2.390	0.155	-4.511	"1+0=?"	1	2	3	4	5	1
Item.247	1.465	-0.475	0.223	0.696	"1+0=?"	1	2	3	4	5	1
Item.248	2.270	-2.231	0.200	5.064	"1+0=?"	1	2	3	4	5	1
Item.249	1.512	-2.819	0.188	4.263	"1+0=?"	1	2	3	4	5	1
Item.250	1.755	-1.772	0.189	3.109	"1+0=?"	1	2	3	4	5	1
Item.251	2.041	1.092	0.157	-2.229	"1+0=?"	1	2	3	4	5	1
Item.252	2.131	1.924	0.228	-4.100	"1+0=?"	1	2	3	4	5	1
Item.253	1.285	-0.166	0.201	0.214	"1+0=?"	1	2	3	4	5	1
Item.254	2.484	-0.129	0.205	0.320	"1+0=?"	1	2	3	4	5	1
Item.255	2.363	0.510	0.262	-1.205	"1+0=?"	1	2	3	4	5	1
Item.256	2.189	-0.826	0.294	1.807	"1+0=?"	1	2	3	4	5	1
Item.257	2.410	1.940	0.238	-4.675	"1+0=?"	1	2	3	4	5	1
Item.258	1.631	-1.137	0.226	1.854	"1+0=?"	1	2	3	4	5	1
Item.259	2.115	2.943	0.290	-6.223	"1+0=?"	1	2	3	4	5	1
Item.260	1.564	1.629	0.256	-2.548	"1+0=?"	1	2	3	4	5	1
Item.261	1.737	1.376	0.293	-2.390	"1+0=?"	1	2	3	4	5	1
Item.262	1.250	-2.020	0.295	2.526	"1+0=?"	1	2	3	4	5	1
Item.263	1.572	1.850	0.280	-2.907	"1+0=?"	1	2	3	4	5	1
Item.264	1.889	2.557	0.175	-4.830	"1+0=?"	1	2	3	4	5	1
Item.265	1.251	-1.606	0.181	2.010	"1+0=?"	1	2	3	4	5	1
Item.266	2.493	-0.710	0.282	1.770	"1+0=?"	1	2	3	4	5	1
Item.267	2.221	-2.459	0.178	5.460	"1+0=?"	1	2	3	4	5	1
Item.268	1.125	2.472	0.263	-2.782	"1+0=?"	1	2	3	4	5	1
Item.269	2.060	2.112	0.249	-4.351	"1+0=?"	1	2	3	4	5	1
Item.270	1.319	0.439	0.194	-0.579	"1+0=?"	1	2	3	4	5	1
Item.271	1.072	-2.915	0.208	3.124	"1+0=?"	1	2	3	4	5	1
Item.272	1.814	1.160	0.243	-2.105	"1+0=?"	1	2	3	4	5	1
Item.273	1.569	1.204	0.224	-1.888	"1+0=?"	1	2	3	4	5	1
Item.274	1.672	2.328	0.183	-3.892	"1+0=?"	1	2	3	4	5	1
Item.275	1.578	-1.986	0.186	3.134	"1+0=?"	1	2	3	4	5	1
Item.276	1.009	2.316	0.216	-2.337	"1+0=?"	1	2	3	4	5	1
Item.277	2.126	-1.277	0.161	2.715	"1+0=?"	1	2	3	4	5	1
Item.278	1.720	-1.611	0.278	2.770	"1+0=?"	1	2	3	4	5	1
Item.279	1.834	-2.746	0.270	5.036	"1+0=?"	1	2	3	4	5	1
Item.280	1.867	2.492	0.244	-4.653	"1+0=?"	1	2	3	4	5	1
Item.281	1.193	-1.997	0.295	2.382	"1+0=?"	1	2	3	4	5	1
Item.282	1.039	2.634	0.241	-2.737	"1+0=?"	1	2	3	4	5	1
Item.283	2.478	-2.271	0.291	5.627	"1+0=?"	1	2	3	4	5	1
Item.284	2.128	-0.952	0.273	2.026	"1+0=?"	1	2	3	4	5	1
Item.285	1.335	-2.427	0.151	3.241	"1+0=?"	1	2	3	4	5	1
Item.286	2.332	2.664	0.166	-6.213	"1+0=?"	1	2	3	4	5	1
Item.287	2.468	0.069	0.291	-0.170	"1+0=?"	1	2	3	4	5	1
Item.288	2.476	0.777	0.181	-1.924	"1+0=?"	1	2	3	4	5	1
Item.289	1.074	2.013	0.167	-2.163	"1+0=?"	1	2	3	4	5	1
Item.290	1.549	2.846	0.273	-4.409	"1+0=?"	1	2	3	4	5	1
Item.291	1.151	-0.146	0.186	0.168	"1+0=?"	1	2	3	4	5	1
Item.292	2.017	-2.090	0.206	4.216	"1+0=?"	1	2	3	4	5	1
Item.293	1.907	-1.293	0.178	2.465	"1+0=?"	1	2	3	4	5	1
Item.294	1.523	1.810	0.221	-2.757	"1+0=?"	1	2	3	4	5	1
Item.295	1.805	1.851	0.278	-3.340	"1+0=?"	1	2	3	4	5	1
Item.296	1.340	1.171	0.194	-1.570	"1+0=?"	1	2	3	4	5	1
Item.297	1.535	-2.588	0.283	3.974	"1+0=?"	1	2	3	4	5	1
Item.298	2.471	-2.512	0.284	6.208	"1+0=?"	1	2	3	4	5	1
Item.299	2.066	-0.343	0.209	0.709	"1+0=?"	1	2	3	4	5	1
Item.300	1.428	-1.412	0.184	2.016	"1+0=?"	1	2	3	4	5	1
Item.301	1.100	-1.409	0.226	1.549	"1+0=?"	1	2	3	4	5	1
Item.302	1.477	1.862	0.219	-2.749	"1+0=?"	1	2	3	4	5	1
Item.303	2.420	-1.794	0.212	4.342	"1+0=?"	1	2	3	4	5	1
Item.304	2.365	-0.274	0.299	0.649	"1+0=?"	1	2	3	4	5	1
Item.305	2.468	-0.551	0.268	1.359	"1+0=?"	1	2	3	4	5	1
Item.306	2.311	2.613	0.273	-6.039	"1+0=?"	1	2	3	4	5	1
Item.307	1.674	-2.437	0.281	4.081	"1+0=?"	1	2	3	4	5	1
Item.308	2.108	-1.951	0.227	4.113	"1+0=?"	1	2	3	4	5	1
Item.309	2.375	-0.399	0.290	0.947	"1+0=?"	1	2	3	4	5	1
Item.310	1.703	-2.134	0.295	3.634	"1+0=?"	1	2	3	4	5	1
Item.311	1.591	-2.545	0.224	4.049	"1+0=?"	1	2	3	4	5	1
Item.312	2.285	-2.908	0.155	6.646	"1+0=?"	1	2	3	4	5	1
Item.313	1.460	1.316	0.238	-1.921	"1+0=?"	1	2	3	4	5	1
Item.314	1.416	-0.796	0.214	1.127	"1+0=?"	1	2	3	4	5	1
Item.315	1.587	0.960	0.276	-1.524	"1+0=?"	1	2	3	4	5	1
Item.316	1.765	-2.879	0.283	5.080	"1+0=?"	1	2	3	4	5	1
Item.317	1.997	2.271	0.160	-4.536	"1+0=?"	1	2	3	4	5	1
Item.318	1.743	-2.846	0.248	4.959	"1+0=?"	1	2	3	4	5	1
Item.319	1.194	-1.185	0.268	1.415	"1+0=?"	1	2	3	4	5	1
Item.320	1.477	-2.013	0.196	2.973	"1+0=?"	1	2	3	4	5	1
Item.321	1.868	-0.240	0.251	0.449	"1+0=?"	1	2	3	4	5	1
Item.322	1.773	0.322	0.193	-0.570	"1+0=?"	1	2	3	4	5	1
Item.323	1.685	2.752	0.197	-4.638	"1+0=?"	1	2	3	4	5	1
Item.324	1.222	-1.163	0.164	1.421	"1+0=?"	1	2	3	4	5	1
Item.325	2.071	-1.720	0.191	3.562	"1+0=?"	1	2	3	4	5	1
Item.326	1.054	-1.634	0.220	1.723	"1+0=?"	1	2	3	4	5	1
Item.327	2.040	1.328	0.186	-2.709	"1+0=?"	1	2	3	4	5	1
Item.328	1.454	2.403	0.234	-3.493	"1+0=?"	1	2	3	4	5	1
Item.329	2.319	-2.546	0.155	5.906	"1+0=?"	1	2	3	4	5	1
Item.330	2.488	2.003	0.273	-4.983	"1+0=?"	1	2	3	4	5	1
